,Wall time,Step,Value
0,1702346699.5597792,35,6.560267925262451
1,1702346701.0929415,79,8.747767925262451
2,1702346702.492166,118,8.91096258163452
3,1702346703.9929192,162,9.292039394378659
4,1702346704.780285,185,7.647768497467039
5,1702346706.345672,223,7.702629566192625
6,1702346707.9512997,260,7.799851894378659
7,1702346708.899129,281,6.752976894378659
8,1702346710.7200353,321,6.9699902534484846
9,1702346712.244933,357,6.9081845283508265
10,1702346714.1675,401,7.279017925262451
11,1702346715.86482,440,7.40228223800659
12,1702346717.7674537,484,7.650011539459227
13,1702346719.1348782,515,7.429316043853758
14,1702346721.1092708,559,7.704712390899656
15,1702346722.6072588,594,7.692430019378659
16,1702346724.481986,638,7.875218868255615
17,1702346726.0537262,673,7.816633701324461
18,1702346727.96832,717,8.01037836074829
19,1702346729.8988602,761,8.212872028350827
20,1702346731.8284037,805,8.338542461395264
21,1702346733.7579474,849,8.446631908416746
22,1702346735.3217156,885,8.396771907806395
23,1702346737.253251,929,8.498201847076414
24,1702346739.2425942,973,8.610268115997313
25,1702346741.197056,1017,8.810684680938719
26,1702346743.1485248,1061,8.834851741790771
27,1702346744.649502,1096,8.7069354057312
28,1702346746.6109383,1139,8.734851360321043
29,1702346748.590316,1183,9.148185253143309
30,1702346750.1022563,1217,9.086517810821531
31,1702346751.9460878,1258,9.091934680938719
32,1702346753.8248,1302,9.559018611907957
33,1702346755.368636,1337,9.511934757232664
34,1702346757.4446878,1381,9.7069354057312
35,1702346759.4420042,1425,9.726101398468014
36,1702346761.492144,1469,9.864851474761961
37,1702346763.2891314,1510,9.791518688201903
38,1702346765.174822,1554,10.074434757232664
39,1702346767.2169883,1598,10.041518688201903
40,1702346769.121615,1642,10.218183994293211
41,1702346771.0740812,1686,10.261101245880125
42,1702346773.0414982,1730,10.461517810821531
43,1702346774.7238688,1765,10.250685214996336
44,1702346777.049089,1809,10.23776865005493
45,1702346779.2676678,1852,10.183184146881102
46,1702346781.4952118,1895,10.18193483352661
47,1702346783.7985036,1939,10.363184452056883
48,1702346786.0320296,1983,10.359434604644774
49,1702346788.3662195,2027,10.376934528350828
50,1702346790.3695164,2068,10.30985116958618
51,1702346792.7216454,2112,10.292351245880125
52,1702346794.9342425,2156,10.52776765823364
53,1702346797.2365384,2200,10.582352161407469
54,1702346799.6255438,2244,10.575268268585203
55,1702346802.0544164,2288,10.784435749053953
56,1702346804.5042205,2332,10.917351245880125
57,1702346806.7377455,2373,10.86651849746704
58,1702346809.1885457,2417,11.005268573760985
59,1702346811.614427,2461,11.038601398468016
60,1702346814.0652268,2505,11.016518115997313
61,1702346816.4671893,2549,10.972351551055906
62,1702346818.9219754,2593,11.096935749053953
63,1702346821.3538375,2637,11.120684146881102
64,1702346823.8026438,2681,11.196934223175047
65,1702346826.211584,2725,11.210684299468992
66,1702346828.7411203,2769,11.196934223175047
67,1702346831.1679983,2813,11.223600864410399
68,1702346833.6596618,2857,11.476101398468016
69,1702346836.055643,2900,11.439434528350828
70,1702346838.6370068,2944,11.494852542877195
71,1702346841.0459476,2988,11.542768955230711
72,1702346843.4917614,3032,11.516935825347899
73,1702346845.6624973,3070,11.426102161407469
74,1702346848.0425344,3114,11.426935672760008
75,1702346850.6787126,3158,11.517351627349852
76,1702346853.0786817,3202,11.54943513870239
77,1702346855.5563912,3246,11.554852008819578
78,1702346857.9713137,3290,11.537767887115477
79,1702346860.4998505,3333,11.551935672760008
80,1702346862.91178,3377,11.59026765823364
81,1702346865.457262,3421,11.571934223175047
82,1702346867.864207,3465,11.66026735305786
83,1702346870.4246397,3509,11.63735246658325
84,1702346872.8814194,3553,11.645685672760008
85,1702346875.3671026,3597,11.682768344879149
86,1702346877.1521292,3630,11.456100940704344
87,1702346879.7434576,3674,11.49443483352661
88,1702346882.1185102,3718,11.48485231399536
89,1702346884.489576,3762,11.461935520172117
90,1702346886.9284165,3806,11.45568513870239
91,1702346889.3034682,3850,11.485268115997313
92,1702346891.8429718,3894,11.486517429351805
93,1702346894.1791542,3938,11.46901750564575
94,1702346896.6827755,3982,11.456100940704344
95,1702346899.0717835,4026,11.503601551055906
96,1702346901.6252384,4070,11.464434146881102
97,1702346904.009261,4114,11.485268115997313
98,1702346906.5417864,4158,11.633184909820555
99,1702346908.9497287,4202,11.648184299468992
100,1702346911.376609,4246,11.62151765823364
101,1702346913.766611,4290,11.650269031524656
102,1702346916.0679104,4331,11.563185214996336
103,1702346918.41406,4375,11.564852237701414
104,1702346920.5309763,4412,11.40651750564575
105,1702346923.048552,4456,11.40360116958618
106,1702346925.4853992,4500,11.420267581939695
107,1702346927.9162638,4544,11.416101932525633
108,1702346930.264408,4588,11.483185291290281
109,1702346932.8029125,4632,11.489017963409422
110,1702346935.1331172,4676,11.481934070587156
111,1702346937.985571,4719,11.732351779937742
112,1702346940.4074671,4763,11.67901849746704
113,1702346942.9519548,4807,11.690685749053953
114,1702346945.325012,4851,11.709019184112547
115,1702346947.828634,4895,11.724018573760985
116,1702346950.2286053,4939,11.73693513870239
117,1702346952.715283,4983,11.725685596466063
118,1702346955.0863488,5027,11.734434604644774
119,1702346957.7165475,5071,11.8031849861145
120,1702346960.1035612,5115,11.797768115997313
121,1702346962.633097,5159,11.85985231399536
122,1702346965.0360565,5203,11.883600711822508
123,1702346967.5626023,5247,11.888184070587156
124,1702346969.8449662,5291,11.87526750564575
125,1702346972.3426118,5335,11.914434909820555
126,1702346974.742576,5378,11.82860231399536
127,1702346977.223277,5422,11.919851779937742
128,1702346979.3112898,5459,11.776518344879149
